abl,词根：能力
duct,n. 输送管，导管【词根】引导
duit,【词根】引导
dulc,词根：甜
dulg,词根：让步yield
dum,词根：沉重的咚咚声
duo,/ 'dju:Eu/ n. 二重唱【前缀】二，双
dupl,词根：二
dur,【词根】坚硬的；持久的
dura,【词根】坚硬的；持久的
dut,词根：职责；学习；税
dy,前缀：二， 两次， 两倍
dyn,【词根】力量
dynam,【词根】力量
dys,【医】 不良， 困难， 障碍【前缀】不好的
e,【前缀】出，除去；超出【后缀】名词结尾e，无实意
eal,后缀：形容词后缀，表示“似…的”
ean,后缀：形容词后缀，表示“如…的”
eas,词根：comfort舒适，容易
ebri,词根：drunken（醉）
ec,【前缀】出，除去；超出
eccles,词根：教会
ech,词根：声音
eco,【词根】家
econom,【词根】经济
ecto,【前缀】外面；…外
ed,埃德（男名）【词根】吃【后缀】形容词后缀
ee,【后缀】表示“人”
eem,词根：拿，获得
een,后缀：构成名词，表示“可爱的人(或物)、小的人(或物)”
eer,adv.无论何时，曾经【后缀】表示“人”
ef,【前缀】表示“由…出来，自”之义
efy,后缀：等于fy，表示“…化”
eg,词根：我，拥有，该，欠
ego,/ 5egEu/n.自我【词根】我；自己
egot,词根：自己
egyr,词根：一起带来
eig,词根：我，拥有，该，欠
el,【前缀】进入某种状态，使成为【后缀】表小称或缩小
elast,【词根】驱动，驱使；拉动
electr,【词根】电的
electro,vt. 电镀【词根】电，电的
eleg,词根：lament  (悲伤）
ella,【后缀】表小称或“缩小”
em,【词根】拿；买【前缀】进入某种状态，使成为…
emet,词根：呕吐
emia,【后缀】表示“血液”
emper,词根：表示“命令，统治”
empt,【词根】拿；买
emul,词根：equal  (平等）
en, n. 半方，字母N【前缀】进入【后缀】起功能转换作用
ence,【后缀】用于形容词后构成名词，通常是代替-ent
ency,【后缀】表示抽象名词，表示性质，状态，情况等
end,/ end/  n. 结束；穷尽；到……的尽头。词根：内部
endo,【前缀】在里面的
ene,后缀：名词后缀，表示“烯”类
enigm,词根：迷惑
enn,【词根】年
enne,后缀：表名词，“女性”
ennea,【前缀】九
ent,【后缀】表性质、大小状况、状貌
enter,/ 5entE/vt.进入， 加入， 参加【前缀】在中间，肠道
ento,【前缀】在内
entom,词根：insect（昆虫）
entomo,词根：虫
eo,【前缀】黎明；开始
eous,后缀：表形容词，“有…的”
ep,【前缀】在…上面；在…外面
epi,【前缀】在…上面；在…外面
ept,dj.聪明能干的【后缀】表示“适应，能力”
equ,【词根】相等的
equi,【词根】相等的
er,【后缀】名词后缀;动词后缀;形容词及副词后缀
erc,词根：力量
ere,后缀:指地方  
erebr,词根：brain（脑）
erel,后缀：名词后缀，表示“小称”
erem,词根：孤独的
erg,n. 尔格【计】 尔格【化】 尔格【词根】工作；功
erly,"后缀：形容词、副词后缀，表示“向…"""
ern,【后缀】表示方向;表示场所、地点
ero,词根：爱、性
err,/ E:/  vi.犯错，做错【词根】流浪；犯错
ert,【词根】直；动
ery,【后缀】名词后缀，表示地点、状态等
es,【前缀】出自；超出;=ex【后缀】构成复数
esc,词根：形成becoming，growing
escal,词根：ladder（梯子）
esce,【后缀】动词后缀，表示“开始发生”，“开始成为”
escence,后缀:用以构成名词，相当于形容词后缀-escent 
escency,后缀：表示“开始、正在、逐渐形成某种状态”
escent,后缀：表示“开始、正在、逐渐形成某种状态”
ese,【后缀】形容词兼名词后缀，表示某国的、某地的
esia,后缀：表示“疾病名称”
esis,后缀：表示“疾病名称及医学名词”等
eso,【前缀】内；在…里面
esoter,词根：inner（内在）
esque,【后缀】形容词后缀，表性质、大小状况、状貌
ess,/ es/ n. 字母S【词根】存在【后缀】表示“人”
est,【词根】存在【后缀】用以构成形容词或副词的最高级
esthes,词根：感觉，审美
esthet,【词根】感觉
esti,词根：价值
estim,词根：value（价值）
estiv,【词根】夏天
et,【后缀】表小称或“缩小”
ete,【后缀】用以构成名词，表示“做…者”，“…的人”
eth,后缀：构成序数词；十分之一
ethn,【词根】种族 
ethno,词根：人种
etho,【词根】风俗，伦理
etic,后缀：表形容词，“属于…的”
etr,【词根】进入
etta,后缀：名词后缀，表示“小称”
ette,【后缀】名词后缀，表小、女性等
ety,【后缀】构成抽象名词，表示性质、状态、情况
etym,词根：真正的
etymo,词根：true（真的）
eu,【前缀】表示“真正”，“良好”，“容易”
eur,【后缀】表示“人”
ev,【电】 电子伏特【词根】年龄；时代【前缀】良好
ex,n. 前妻或前夫【前缀】外部，向外；前任，旧
exo,"前缀：表示""外部的，外面"""
exter,【前缀】…外
extern,/ eks'tE:n/ n. 走读生， 走读医学实习生【前缀】…外
extr,【前缀】在…之外；超出；与intra相反
extra,/ 5ekstrE/  adj.额外的【前缀】超越，额外
extro,前缀：以外的，超过的
fa,【词根】说
fab,【词根】说
fabl,【词根】说
fabr,【词根】做
fabul,【词根】说
fac,【词根】脸；额头；前部；做
fact,/ fAkt/n. 事实；实际；真相【词根】制造；做
faction,后缀：表示“形成”，“…化”
fain,adj.  乐意的【词根】形状， 构造， 样式
faith,/ feiW/  n.信任，信念；忠实【词根】信任，信心
fal,词根：欺骗，错
fall,/ fR:l/n.秋天， 落下， 瀑布， 降低， 落差【词根】欺骗
fals,【词根】欺骗；假
fam,【词根】说；名字
fan,/ fAn/n. 迷；风扇；爱好者【词根】出现；显现
fant,【词根】出现；显现
far,/ fa:/a.& ad.遥远。词根：前，早，通过;运，带，走
fare,/ fZE/n.费用， 旅客， 食物【词根】去，走
fas,词根：做，制作
fascin,词根：enchant（迷住）
fast,adj.  快的【词根】紧的 
fat,/ fAt/adj. 肥的，胖的；油腻的。词根：肥；声音，说
fath,词根：低，底，深
fatig,词根：weary（疲倦）
fatu,词根：silly（笨）
faul,词根：欺骗，错
fav,词根：庇护；善意
fe,词根：不（“非”），钱
fea,词根：做，制作
feas,词根：做，神
feat,n.功绩，伟业【词根】做
feath,词根：追求，冲，飞
febr,词根：fever（烧）
febri,词根：热
fec,【词根】做
fect,【词根】制造；做
fecund,adj. 肥沃的；多产的；丰饶的【词根】fruit（果实）
fed,词根：信任
feder,词根：联盟
feit,词根：做
fel,词根：猫
felic,词根：happy（幸福）
fem,词根：生育，养育
femin,词根：女性
femto,词根：千万亿分之一
fen,n.  沼泽; 沼池【词根】栏杆
fenc,词根：击，杀
fend,/ fend/vt.保护， 谋生， 供养， 挡开【词根】打击
fens,【词根】打击
fer,【词根】运送；携带；忍受；结果实；给；煮
ferr,词根：铁
ferro,【计】 铁共振【词根】iron铁
fert,【词根】带来，拿来，给
ferv,【词根】沸腾
fes,词根：做，神;节日
fess,v.坦白，供认【词根】说
fest,【词根】节日；打击
fet,词根：生产productive
fev,词根：热
fi,词根：相信，信任
fian,词根：最后的，最终的
fibr,词根：纤维
fic,【词根】做【后缀】表示“形成…的”，“产生…的”
fication,后缀：表示“形成”，“…化”
fice,【词根】制造；做
fict,【词根】假装
fid,n. 硬木钉， 桅栓【词根】信任
fide,词根：信任
fied,后缀:表示“使”，“使成为”，“使化成”等
fier,后缀：表名词，“人和物”，由-ify转化而来
fig,/ fig/  n.无花果【词根】形状
figur,【词根】形状；形态
fil,【词根】线；纺织
fila,n.  丝; 丝状部份【词根】线；纺织
fili,【词根】线；纺织;儿子
filt,【词根】过滤
fin,/ fin/n.鳍， 鱼翅【词根】结束
fing,词根：五
finit,词根：终，极
fir,/ fE:/n.冷杉， 枞树， 杉木。【词根】火；前，早，通过
firm,/ fE:m/  n.公司【词根】坚固的
fisc,/ fisk/n. 古罗马国库【词根】pruse（钱包）
fiss,词根：裂
fit,vi. 符合，配合【词根】适当；做
fiv,词根：五
fix,/ fiks/n.困境， 方位， 贿赂【词根】固定
fl,准词根：弯曲；飞，流
flag,/ flAg/  n.旗子【词根】burn，flame燃烧，火焰
flagell,词根：whip（鞭子）
flagr,【词根】火焰；燃烧
flam,/ flAm/ n. 谎， 假话vt. 欺瞒【词根】火焰；燃烧
flat,/ flAt/adj.平坦的， 扁平的， 单调的【词根】吹气
flau,词根：吹
flav,词根：流，溶，熔
flec,词根：反转
flect,【词根】弯曲
flex,vt. 折曲；使收缩【词根】弯曲
flict,【词根】打
flig,词根：打出，推进
flor,【词根】花
flot,词根：漂浮
flour,/ 5flauE/  n.面粉，粉；粉状物质【词根】花
flu,/ flu:/  流感【词根】流
fluc,词根：流
fluct,词根：流动
fluctu,词根：wave（波浪）
fluv,词根：流
flux,n.  流出【词根】流
foc,词根：焦点
fold,/ fEuld/n.折， 羊栏， 折痕【后缀】形容词及副词后缀
foli,【词根】叶子
foll,词根：风囊
fon,词根：喜爱
for,/ fR:， fE/  为；给【词根】前，早，通过
forc,【词根】城，高，强，力量
force,/ fR:s/  n.（常pl.）军队【词根】强壮的
fore,/ fC:; fCE/n.前部， 船头【前缀】在前面；前面
forg,词根：造
form,/ fR:m/n.形状， 形态， 外形， 表格【词根】形状；形式
fort,n.要塞，堡垒【词根】强壮的，运气【前缀】十四
fortu,词根：运气
fortun,【词根】可能性；机会
fost,词根：养育，喂食
found,v.建立， 创立， 创办【词根】基础；底部；注入；倒入
fra,词根：打破
fract,【词根】损坏；破裂
frag,"词根：表示“打碎”"""
frai,"词根：表示“打碎”"""
fram,词根：形成，结构；确定，真实
franc,/ frANk/  n.法郎【词根】自由的；免费的
franch,词根：公民权
frang,"词根：表示“打碎”"""
frater,n.兄弟，会友【词根】兄弟
fratern,词根：brother（兄弟）
fratr,词根：brother兄弟
fresc,词根：新鲜 fresh
fri,词根：爱，友爱，自由
fric,词根：摩擦
frig,n.冰箱【词根】冷
friger,"词根：表示“冷”"""
front, n.& a.前面(的)；前部(的)【词根】脸；额头
fros,adv.  向那边， 向后【词根】冻结
fruct,词根：果
frug,词根：fruit果实，水果
fu,词根：存在，生长，居住
fud,词根：流，逃，消失
fug,n. 闷浊空气vi. 呆在闷室中【词根】逃跑；逃走
fuge,词根：逃走
ful,【后缀】名词后缀，形容词后缀
fulg,词根：shine（发光）
fulm,词根：逃跑
fulmin,词根：thunder（雷声）
fum,【词根】烟
fun,/ fQn/ n. 乐趣， 玩笑， 娱乐【词根】烟;绳索
funct,【词根】做，履行，完成
fund,/ fQnd/  n.资金；基金；存款【词根】基础；底部；流
fung,词根：功用
fur,/ fE:/  n.毛皮；毛；软毛【词根】wild狂野的
furc,词根：fork（分叉）
furt,词根：steal（偷）
fus,【词根】灌，流，倾，泄
fusc,词根：dark（黑的）
fuse,/ fju:z/n.保险丝， 熔丝【词根】注入；倒入
fut,【词根】注入；倒入
fy,【后缀】表示“做成”、“使…化”
gain,/ gein/n. 增加；利润；收获【词根】against（反对）
gal,n. 加仑（重力加速度单位）；姑娘【词根】呼啸；唱
galact,词根：乳
galax,词根：milk（乳）
gam,/ gAm/ n. 鲸鱼群， 社交， 腿vt. 社交【词根】婚姻
gamb,词根：腿;走;跳
gamos,词根：婚姻
gamy,/ 'geimi/ a. 勇敢的， 猎物多的【词根】婚姻
gar,词根：装饰，注意，保护;叫，关心
gard,词根：抓，围，圈
garn,词根：表示“装饰，供应”
garr,词根：chatter（唠叨）
gas,/ gAs/  n.气体。词根：打呵欠，裂开
gastr,【词根】胃；腹部
gastro,【词根】胃；腹部
gath,词根：联合，加入，合适
ge,前缀：地球 
gemin,词根：成对
gemm,词根：芽
gen,/ dVen/ n. 消息， 真相， 情报【词根】生产；种族
gener,【词根】生产；种族
genit,"词根：表示“出生，产生”"""
gent,n. 绅士；假绅士；男子【词根】温和；生产；种族
genu,/ 'dVenju:/ n. 膝【医】 膝【词根】生产；种族
geo,【词根】土地，地球
ger,【词根】携带；运送
germ,n. 萌芽；细菌【词根】要害部位；出生，产生，种族
geronto,词根：老
gest,/ dVest/ n. 诗体小说， 昌险行为【词根】携带；运送
get,/ get/vt.到达。词根：抓，取，拿
geth,词根：联合，加入，合适
ghast,词根：惊恐
ghbour,【词根】百姓
giga,n.十亿，千兆【词根】十亿
gigant,词根：巨大
gin,/ dVin/n.陷阱， 起重装【词根】生产，产生，种类
gister,"词根：表示“带来，产生”"""
giv,词根：给，接受，有
gl,词根：黄色，发光；粘，连，球，块，抓
gla,词根：黄色，发光
glac,词根：表示“冰”
glaci,词根：冰
gladi,词根：剑
glo,词根：块， 团
glob,n.  水珠; 东西【词根】球
glomer,【词根】聚集，球
glor,词根：荣誉，光荣
gloss,n.  光泽， 色泽【词根】表示'舌头'，引申为'词语'
glot,词根：表示“舌头”，引申为“词语”
glu,词根：结块， 结合， 粘合
gluc,词根：甜、甜的
glyc,词根：甜、甜的
gn,【词根】出生，知道
gnant,词根：出生
gnath,词根：颌；下巴
gni,词根：知道
gno,词根：知道
gnor,词根：知道
gnos,词根：知道
god,/ gRd/n.神。词根：召唤
gog,词根：引导
gol,词根：黄色，发光
gon,【词根】角
gor,词根：收集，集合
gorg,【词根】喉咙
gos,词根：召唤
gr,词根：生长，增加
gra,【词根】喜爱，感激，称赞
grac,词根：愉快，取悦
grad,n.毕业生，校友【词根】步，走，级
graf,词根：写， 画
gram,/ grAm/n. 绿豆； 鹰嘴豆；【词根】写
gran,词根：表示“颗粒”
grand,/ grAnd/a.豪华的；庄重的【词根】大，宏大，高
graph,/ grAf/  n.(曲线)图，图表【词根】写，图
grapher,后缀:表示“画(或写、记录、描述)的人(或专家)”  
graphy,后缀:'写法'，'书法'，'画法'，'记录法'，'图示法'  
grat,greet的过去式【词根】使高兴
grav,【词根】重的
gravat,词根：重，加重
graz,词根：生长，变绿
gred,词根：走，步，行
gree,"词根：表示“感激，高兴”"""
greg,【词根】聚焦；群
gress,【词根】走
gret,词根：叫喊，哭
griev,"词根：表示“重"""
groc,词根：厚，大，粗
grop,词根：抓
gross,/ grEus/adj. 总共的；粗野的；恶劣的【词根】大
gru,词根：聚集， 联合， 合并
guar,词根：注意，保护
gubern,词根：管理
guer,词根：战争，搞乱，混
gurg,【词根】喉咙
gymn,词根：裸露
gyn,【词根】妇女
gynaeco,词根：woman，female妇女，雌
gynec,"词根：表示“妇女”"""
gyr,【词根】转
gyro,n. 陀螺仪， 回转仪， 陀螺【词根】whirl，ring旋转，环
hab,【词根】给，接受，有
habit,/ 5hAbit/  n. 习惯；习性【词根】居住；有
haem,n. 血红素【词根】血液
haemat,词根：血
hagi,词根：holy，saint神圣，圣徒
hal,【词根】呼吸
hale,v.  强拉; 硬拖【词根】呼吸
halit,词根：呼吸
hap,/ hAp /n.偶然， 机会， 运气;【词根】运气
har,词根：战争，军队；硬
hara,词根：磨，擦，刮，涂
harm,/ ha:m/vt. 伤害；危害；损害【词根】适合
harmon,词根：concord，harmony和谐，和声
harv,词根：采，摘，收获
hast,v.  第二人称单数现在式【词根】抽水
haught,词根：high  (高）
haust,【词根】拖，拉
haut,词根：高
hav,词根：抓，取，拥有
haws,词根：粗绳，拖，拉
heal,v.  治愈【词根】完整，无损伤，健康
heav,词根：抓，取
hec,词根：保持，抓，暂停
hecto,【电】 格克脱【前缀】百
hedon,词根：愉快
hedr,词根：侧面
hedron,词根：...面体
hein,词根：odious  (可恨的）
hel,词根：太阳，日
heli,前缀：太阳；直升机  
helic,【词根】螺旋
helio,【词根】太阳
hem,/ hem/ n. 边缘， 折边， 哼声【词根】血
hema,词根：血
hemat,词根：血
hemato,词根：血
hemer,词根：day  (一天）
hemi,【前缀】半
hemo,词根：血
hend,词根：抓，取，拿
hendeca,前缀：十一  
hens,词根：抓，取，拿
hepat,前缀：肝脏  
hept,前缀：七  
hepta,n.七【前缀】七
heptadeca,【前缀】十七
her,/ hE:， hE/  她的【词根】粘住；继承人
herb,/ hE:b/  n.草本植物；药草；香草【词根】草
herd,/ hE:d/  n. 兽群，畜群；放牧人【后缀】表示“人”
here,/ hiE/adv. 在这里；此时【词根】粘着
hered,词根：继承
herit,词根：继承
hes,词根：粘着
heter,【前缀】另一的；不同的
hetero,【前缀】另一的；不同的
heur,词根：发现
hex,n.  魔女; 十六进位【词根】六
hexa,【前缀】六
hib,词根：给，接受，有
hibern,词根：冬天
hibit,词根：拿，持
hid,v.隐藏(hide的过去式 )【词根】盖，藏
hier,【前缀】骶骨，宗教，神圣的
hilar,词根：快乐的 
hing,词根：悬挂
hipp,词根：马
hist,前缀：组织  
hoars,词根：热
hod,/ hRd/ n. 木制容器， 煤斗， 装木炭容器【词根】路
hol,词根：完整，无损伤，健康；遮盖，隐藏
holo,【前缀】全
hom,【词根】人【前缀】相同
homo,n.  同性恋者【前缀】表示“同类的”
hones,词根：尊敬，荣誉
hood,/ hud/n. 头巾；覆盖；兜帽【后缀】表示抽象名词
hop,/ hRp/v.单脚跳。词根：跳
hor,词根：角，头
horr,词根：发抖；怕
hors,词根：跳
hort,词根：表示“鼓励”
hos,词根：粗绳，拖，拉
hosp,词根：客人
hospit,词根：客人
host,n.  主人【词根】客人
hous,词根：盖，藏
hug,/ hQg/vt. 拥抱；紧抱；抱有，坚持。【词根】高
hum,/ hQm/v. 作嗡嗡声；哼唱【词根】人；地面;土地
human,adj.  人类的【词根】人；地面;土地
hund,词根：百，百分之一
hur,词根：战争，军队；角，头
hus,词根：盖，藏
hut,/ hQt/n.小屋；棚屋。【词根】盖，藏
hydr,词根：水
hydra,n.  九头怪蛇【词根】水
hydro,/ 'haidrEu/ n. 水疗医院【词根】水
hyet,前缀：雨，下雨  
hyeto,前缀：雨，下雨  
hygi,词根：卫生
hygro,前缀：湿气  
hyl,前缀：物质  
hyp,前缀：低下  
hyper,【前缀】超出，过于
hypn,词根：睡觉
hypno,【词根】睡觉
hypo,n.  海波; 定影剂【前缀】次，亚；在……之下
hypso,前缀：高度  
hyster,前缀：子宫 
i,/ ai/  我【前缀】不；无
ia,表名词，“某种病”“总称，状态”
iac,【后缀】表性质、大小状况、状貌
ial,【后缀】表示属于...的、具有...的、有...性质的
ially,后缀:副词，表示有…特点的等
ian,【后缀】形容词后缀，名词后缀
iasis,后缀：表示“疾病名称”
iatr,词根：医生
iatry,后缀：名词后缀，表示医术
ibility,【后缀】表示抽象名词
ible,【后缀】形容词后缀，表示“可...的”等
ibly,后缀：表示“可…地”，“能…地”：
ic,【后缀】形容词后缀，名词后缀
ical,【后缀】形容词后缀
ically,后缀:构成以-ic，ical 结尾的形容词的对应副词
ice,/ ais/  冰【后缀】表示抽象名词
ichno,词根：足迹 
ichthy,词根：鱼
ician,后缀:表示“…家”，“…师”，“…工作者”
icity,"后缀：名词后缀，表示“性质”，“状态”，“程度"""
icle,后缀:构成名词，表示“小”
icon,/ 'aik3n/n．图像符号；图标【词根】形象；偶像
ics,【后缀】表示抽象名词
icular,后缀：形容词后缀，表示“…的”
id,n.(identity的缩写)身份(证)【后缀】形容词后缀
idae,后缀：名词后缀，表示“…科”
ide,"【词根】表示""思想，观点""""【后缀】表示化合物"
iden,词根：相同
ident,【词根】相同
ideo,"词根：表示“思想，观点”"""
idio,【词根】个人的；独特的
idity,后缀：名词后缀，表示“状态”
idol,/ 5aidl/  n.偶像，被崇拜的人【词根】形象，偶像
ie,【后缀】名词后缀，表示小称等
iency,后缀：表名词，ence的变体
ient,后缀：形容词后缀
ier,【后缀】表示“人”
ies,后缀：名词后缀，形容词后缀
iest,后缀：形容词或副词的最高级
ific,后缀：表形容词，“产生…的”
ification,后缀：表名词，由ific变化而来
ifice,【词根】做成……；使……成为
ify,【后缀】表示“做成”、“使…化”
ig,【词根】行为；行动【前缀】不，非，无
iginous,后缀：形容词后缀，表示“患…病的”
ign,【词根】火
igo,后缀：表示“疾病名称”
il,【前缀】不，非，无；向内，进入，朝
ile,【后缀】形容词后缀，名词后缀
ility,后缀：名词后缀，表示“性质”
im,【词根】主张【前缀】不，非，无；向内，进入，朝
imag,词根：想象，相象，肖像
imit,词根：表示“想象，相象”
imper,词根：表示“命令，统治”
in,在…里面【前缀】不，非，无【后缀】表示“集体活动”
ina,后缀:用以构成乐器名、生物分类名等
incip,词根：begin（开始）
indi,前缀：在内  
ine,【后缀】形容词后缀;名词后缀
infra,adv.  以下; 之外; 以后【前缀】低下；在下，在下部
ing,【后缀】名词后缀;形容词后缀;构成介词
initi,词根：开始
insul,【词根】岛
integr,【词根】整，全
intel,【前缀】在…之间
inter,/ in5tE:/vt.埋葬， 葬， 埋【前缀】在……中间
intim,词根：inmost（内心的）
intr,【词根】内
intra,【计】 节点内【前缀】在内，内部
intro,简介【前缀】在内，进入
iod,词根：碘
ion,/ 5aiEn/n.离子【后缀】表示抽象名词
ior,【后缀】名词后缀;形容词后缀
ious,后缀：富含....的，具有…性质的
iqu,词根：相同，相同
ique,【后缀】表示抽象名词
ir,【前缀】不，非，无；向内，进入，朝
irr,词根：anger生气
is,前缀：相等的  
ise,【后缀】动词后缀，同-ize
ish,【后缀】形容词后缀;动词后缀
isl,词根：岛
ism,n. 主义， 学说， 制度【后缀】名词后缀，表示主义等
iso,【前缀】相等的
isol,词根：island（岛）
ist,【后缀】表示“人”
ister,后缀：名词后缀，表示“人”
isthm,词根：narrow  pass（狭道）
istic,后缀：表形容词，由-ist+ic构成，表示“…的”
istical,后缀：形容词后缀，表示“…论的”
it,/ it/  它【词根】走
ite,【词根】走【后缀】名词后缀;形容词后缀;动词后缀
itic,后缀：形容词后缀，表示“似…的”
ities,后缀:构成名词，表示“性质”，“状态”，“程度”
ition,后缀：表抽象名词，“行为过程，状态”
itious,后缀：表形容词，-ition变化而来，表示“…的”
itis,后缀:构成名词，表示“炎症”，“发炎”等
itive,后缀：表形容词，“…的”
itor,后缀：表名词，“人”
itous,后缀：形容词后缀，表示“属于…的”
itude,【后缀】表示抽象名词
ity,【后缀】表示抽象名词
ium,【后缀】表示抽象名词
ive,【后缀】形容词后缀;名词后缀
ivity,后缀：表名词，由-ive+ity组成，“有…能力或特性”
ivor,词根：象牙
ization,后缀：表名词，来自-ize+ation，'…化'或'发展过程'
ize,【后缀】表示“使成…状态”、“使…化”等
jac,【词根】投掷，扔
jacul,词根：javelin（标枪）
jan,词根：门
jeal,词根：热心，寻求，要求，想要
jec,词根：投掷；放
ject,【词根】投掷，扔
jet,v.  喷出， 射出【词根】投掷，扔
jew,n.  犹太人【词根】说，说笑，玩
joc,词根：表示“笑话”
join,/ dVRin/v.参加，加入【词根】加入，结合，连接
jok,词根：说，说笑，玩
joll,词根：judge，law评判，法律；joke快活，喜悦
jour,n. 杂志，学报；日记账 词根：日，一天
journ,【词根】日期，日，发光
jov,词根：朱庇特主神；木星；欢乐、祥和
ju,词根：判断；审判
jubil,词根：shout of  joy（欢呼）
jud,词根：判断
judg,词根：判断
judic,词根：判断
judice,词根：判断
jug,n.  水壶【词根】说，说笑，玩
jun,词根：年少，年轻
junc,词根：加入;增加;联合
junct,【词根】加入；连接
jur,【词根】发誓；法津
jure,【词根】发誓；法津
juris,【法】 权力的， 法律的【词根】法律；正当的
jus,n.  法 【词根】法律，公正，判断
just,adj.正义的， 公正的， 正确的【词根】法律；正当的
juv,词根：年少，年轻
juven,【词根】年轻的
juxta,前缀：接近
kilo,/ 5kilEu/  n.千克；公斤【前缀】千
kin,n.亲戚， 同族， 血缘关系【后缀】表小称或“缩小”
kine,n. 雌牛 词根：活动
kinemat,词根：move运动
kines,词根：move运动
kinet,词根：move运动
kitch,词根：烹，调，使熟
klept,词根：盗窃
kn,词根：夹，挤，压
la,词根：人；人类
lab,/ lAb/n.实验室。词根：抓；松，滑
labi,词根：唇
labo,【词根】工作
labor,/ 5leibE/  n.&v.(=labour)工作【词根】工作
labour,vi. 劳动；分娩【词根】做
lac,/ lAk/ n. 紫胶， 十万， 许多【词根】牛奶
lacer,n. 胶带接合机词根：torn（撕开）
lact,【词根】牛奶；乳汁
lacto,词根：milk乳
lag,n.  落后【词根】湖
lak,词根：湖
lamell,词根：薄片，层
lamin,词根：薄片，层
lanc,词根：瘦长的；矛，枪；投掷，抛
land,n. 国土；陆地【词根】土地
lang,【词根】舌头；语言
langu,【词根】舌头；语言
lap,/ lAp/n.腰以下到膝部分：大腿。词根：松，滑
lapi,词根：石头
lapid,词根：石头
lapil,词根：石头
laps,【词根】滑；滑行
lapse,n. 失效；流逝【词根】滑落
larg,词根：大，丰富
laryng,词根：咽喉
las,词根：轨迹，跑道
lass,/ lAs/n. 小女孩，少女； 情人【词根】倦
lat,【词根】拿出，带出
late,/ leit/adv. 晚；迟；最近  【词根】拿出，带出
later,/ 5leItE/a. 更迟的，后面的;【词根】边；侧面
latr,词根：崇拜
latry,词根：崇拜
lau,【词根】洗
launc,词根：投；抛；掷
laund,【词根】洗
lav,n. 盥洗室， 厕所， 洗手间， 洗脸盆【词根】洗
law,n. 法律；规律【词根】法律，放
lax,adj.松的， 松懈的， 不严格的【词根】放松；松开
lay,vt. 躺下；产卵；搁放【词根】放
laz,词根：拖，拖延
le,【后缀】动词后缀;名词后缀
leag,【词根】绑，捆，束
lear,词根：轨迹，跑道
leas,词根：松
leav,词根：爱，关心
lec,词根：诱使entice
lect,【词根】选择；聚集；读；说
leg,/ leg/  腿【词根】选择；聚集；读；指定；送；法律
lega,词根：指定；任命；送
legis,词根：法律
leis,词根：合法
lem,词根：抓
len,词根：离开
lence,"后缀：名词后缀，表示“性质”，“状态”，“程度"""
lency,"后缀：名词后缀，表示“性质”，“状态”，“程度"""
leng,词根：长
lent,后缀:充满着  
leon,词根：狮子
lep,词根：鳞状物
lepsy,【后缀】发作
less,adj.(little的比较级)较小的【后缀】起功能转换作用
let,vi.出租【后缀】表小称或“缩小”【词根】诱使
leth,词根：oblivion（遗忘）
leuc,词根：白
leuk,词根：白
lev,【词根】提高;轻的；升
levi,【词根】提高；轻的
levo,词根：left左
lex,n.  法; 法律体系【词根】表示“词汇”
lg,词根：痛
li,词根：bind，tie捆，绑，束，结
lib,【词根】书
liber,n.书籍，登记册【词根】自由的
libert,词根：自由
libr,词根：表示“书”
lic,【词根】被允许；诱使
licen,词根：表示“允许”
lict,【词根】离开；遗留
lid,/ lid/ n. 盖子， 限制， 眼睑【词根】击，击打
lide,词根：打
lief,/ li:f/ ad. 欣喜， 宁愿a. 乐意的【词根】提高；轻的
liev,【词根】轻，上升，提起
lif,词根：剥落，折断，除去；生命，生存
lig,【词根】选择，收集，绑；诱使
lign,词根：线
like,vt.喜欢， 希望， 愿意【后缀】表形容词，“像…一样”
lim,"词根：表示""门槛，限制"""""
limin,【词根】门槛；界限
lin,词根：线
ling,/ liN/ n. 鳕鱼【后缀】名词后缀，表示“小”等
lingu,【词根】舌头；语言
linq,词根：离开
linqu,【词根】离开；遗留
lip,/ lip/ n. 唇， 口缘【词根】离开leave
lips,词根：离开
liqu,【词根】液体
lis,【法】 诉讼事件， 争执， 起诉【词根】击，击打
lite,adj. 清淡的 词根：岩石
liter,/ 5li:tE/  n.(容量单位)升【词根】字母；文字
lith,【词根】石头
litig,词根：法律
liv,词根：活；生命，生存
live,/ liv5 laiv/adj.活的， 生动的【词根】提高
liver,n.  肝脏【词根】自由
loc,【词根】地方
lock,n.  锁; 抱， 夹【后缀】由动词构成名词
loco,/ 5lEJkEJ/n. 火车头；疯子；疯草病【词根】地方
locu,词根：说话
locut,词根：说话
lof,词根：升起，举起；放松
loft,/ lRft/  n. 阁楼；顶楼；鸽房【词根】sky（天空）
log,/ lRg/n.原木，圆木【词根】说，读，学
logical,后缀：形容词后缀，表示“…学的”
logist,后缀:表示“…学家” 
logu,词根：说话
logue,词根：说话
logy,/ 'lEugi/ a. 迟缓的， 呆呆的【词根】~学；~论
long,adj. 长的；过长的【词根】长的【后缀】表示方向
loos,词根：松，分开
lop,v.  砍【词根】跳
loqu,词根：说话
los,词根：松，分开，分离
lot,n. 命运；一块地；一堆；抽签；份额。词根：洗
loung,词根：长
lov,词根：爱，关心
low,/ lEu/adj.低的;词根：放
lu,【词根】洗，流
lubr,词根：滑
lubric,词根：slip（滑）
luc,【词根】明亮的
lucr,词根：钱财
luct,【词根】斗争， 挣扎
